Банк,Покупка USD,Продажа USD,Покупка EURO,Продажа EURO,Покупка RUB,Продажа RUB,Покупка KZT,Продажа KZT
Банк Азии,"83,00","84,00","85,50","86,50","1,2800","1,3800","0,1180","0,1900"
KICB,"83,00","84,00","85,00","86,00","1,2700","1,4200","0,1100","0,1950"
Банк КЫРГЫЗСТАН,"83,00","84,00","86,50","87,50","1,2800","1,3800","0,1100","0,1900"
Оптима Банк,"83,00","84,00","86,00","87,00","1,2800","1,4100","0,1150","0,1950"
РСК Банк,"83,00","84,00","86,50","87,50","1,2400","1,3800","0,1100","0,1900"
Бай-Тушум,"82,50","83,50","84,50","85,50","1,2800","1,4000","0,1000","0,2000"
Демир Банк,"83,00","84,00","86,50","87,50","1,2800","1,4500","0,1100","0,2000"
FINCA Банк,"82,50","83,50","85,00","86,00","1,2700","1,4000","0,1180","0,1900"
Банк Компаньон,"82,00","83,00","84,00","85,00","1,2800","1,4000","0,1180","0,2100"
Моссовет / valuta.kg,"82,87","83,87","87,50","88,50","1,0230","1,1600","0,1094","0,2010"
