 ,USD,USD,EURO,EURO,RUB,RUB,KZT,KZT
Банк,Покупка,Продажа,Покупка,Продажа,Покупка,Продажа,Покупка,Продажа
Банк Азии,"83,00","84,00","85,50","86,50","1,3000","1,4000","0,1200","0,1900"
KICB,"83,00","84,00","86,50","87,50","1,2500","1,4000","0,1100","0,1950"
Банк КЫРГЫЗСТАН,"82,50","83,50","86,00","87,00","1,2700","1,3800","0,1100","0,1900"
Оптима Банк,"83,00","84,00","87,50","88,50","1,3000","1,4000","0,1150","0,1950"
РСК Банк,"83,00","84,00","88,50","89,50","1,2800","1,3800","0,1200","0,1900"
Бай-Тушум,"83,00","84,00","85,50","86,50","1,2700","1,4000","0,1000","0,2000"
Демир Банк,"83,00","84,00","88,00","89,00","1,2500","1,4000","0,1100","0,2000"
FINCA Банк,"83,00","84,00","85,50","86,50","1,3000","1,4000","0,1200","0,1900"
Банк Компаньон,"83,00","84,00","85,50","86,50","1,2700","1,4000","0,1150","0,2100"
Моссовет / valuta.kg,"82,87","83,87","87,50","88,50","1,0230","1,1600","0,1094","0,2010"
